StellarType,MassMstar/Msun,LuminosityLstar/Lsun,RadiusRstar/Rsun,TempK,Color IndexB-V,Abs MagMv,Bolo CorrBC(Temp),Bolo MagMbol,Star ColorRGB 0-255
M9IV,2.1,7910.0,764.0,2000.0,2.39,3.3,-8.3,-5.0,255 205 150
M9V,0.1,0.00415,0.553,2000.0,2.39,19.0,-8.3,10.7,255 198 108
M9VI,0.1,0.00415,0.553,2000.0,2.39,19.0,-8.3,10.7,255 198 108
N0Ia0,15.8,1900000.0,3460.0,3700.0,1.41,-9.3,-1.65,-10.95,255 204 143
N0Ia,13.3,274000.0,1310.0,3700.0,1.41,-7.2,-1.65,-8.85,255 204 143
N0Ib,10.7,57300.0,600.0,3700.0,1.41,-5.5,-1.65,-7.15,255 204 143
N0II,8.2,3960.0,158.0,3700.0,1.41,-2.6,-1.65,-4.25,255 207 133
N0III,5.6,689.0,65.8,3700.0,1.41,-0.7,-1.65,-2.35,255 203 132
N0IV,3.1,26.0,14.3,3500.0,1.49,3.2,-1.99,1.21,255 213 160
N0V,0.5,0.125,0.99,3500.0,1.49,9.0,-1.99,7.01,255 195 139
N0VI,0.2,0.0376,0.544,3500.0,1.49,10.3,-1.99,8.31,255 195 139
N1Ia0,15.1,2560000.0,4460.0,3510.0,1.49,-9.3,-1.97,-11.27,255 202 138
N1Ia,12.7,337000.0,1620.0,3510.0,1.49,-7.1,-1.97,-9.07,255 202 138
N1Ib,10.2,77300.0,775.0,3510.0,1.49,-5.5,-1.97,-7.47,255 202 138
N1II,7.8,5860.0,213.0,3510.0,1.49,-2.7,-1.97,-4.67,255 205 128
N1III,5.3,929.0,85.0,3510.0,1.49,-0.7,-1.97,-2.67,255 200 121
N1IV,2.9,35.5,18.4,3333.0,1.57,3.2,-2.33,0.87,255 212 159
N1V,0.5,0.0618,0.768,3333.0,1.57,10.1,-2.33,7.77,255 204 142
N1VI,0.2,0.0186,0.422,3333.0,1.57,11.4,-2.33,9.07,255 204 142
N2Ia0,14.5,3650000.0,5950.0,3320.0,1.58,-9.3,-2.36,-11.66,255 193 104
N2Ia,12.1,481000.0,2160.0,3320.0,1.58,-7.1,-2.36,-9.46,255 193 104
N2Ib,9.8,110000.0,1030.0,3320.0,1.58,-5.5,-2.36,-7.86,255 193 104
N2II,7.4,8360.0,285.0,3320.0,1.58,-2.7,-2.36,-5.06,255 203 124
N2III,5.1,1210.0,108.0,3320.0,1.58,-0.6,-2.36,-2.96,255 198 118
N2IV,2.7,50.9,24.4,3167.0,1.65,3.2,-2.72,0.48,255 211 157
N2V,0.4,0.0321,0.614,3167.0,1.65,11.2,-2.72,8.48,255 196 131
N2VI,0.2,0.00885,0.322,3167.0,1.65,12.6,-2.72,9.88,255 196 131
N3Ia0,13.8,5070000.0,7890.0,3130.0,1.67,-9.2,-2.81,-12.01,255 192 118
N3Ia,11.6,733000.0,3000.0,3130.0,1.67,-7.1,-2.81,-9.91,255 192 118
N3Ib,9.3,168000.0,1440.0,3130.0,1.67,-5.5,-2.81,-8.31,255 192 118
N3II,7.1,14000.0,414.0,3130.0,1.67,-2.8,-2.81,-5.61,255 201 119
N3III,4.8,1840.0,150.0,3130.0,1.67,-0.6,-2.81,-3.41,255 200 119
N3IV,2.6,77.6,33.6,3000.0,1.74,3.2,-3.18,0.02,255 210 156
N3V,0.3,0.0178,0.509,3000.0,1.74,12.3,-3.18,9.12,255 206 129
N3VI,0.2,0.0049,0.267,3000.0,1.74,13.7,-3.18,10.52,255 206 129
N4Ia0,13.2,8380000.0,11500.0,2940.0,1.77,-9.2,-3.36,-12.56,255 185 104
N4Ia,11.0,1100000.0,4180.0,2940.0,1.77,-7.0,-3.36,-10.36,255 185 104
N4Ib,8.9,277000.0,2090.0,2940.0,1.77,-5.5,-3.36,-8.86,255 185 104
N4II,6.7,23100.0,604.0,2940.0,1.77,-2.8,-3.36,-6.16,255 199 114
N4III,4.6,2770.0,209.0,2940.0,1.77,-0.5,-3.36,-3.86,255 206 127
N4IV,2.4,127.0,48.3,2833.0,1.83,3.2,-3.71,-0.51,255 209 155
N4V,0.3,0.0106,0.44,2833.0,1.83,13.4,-3.71,9.69,255 201 127
N4VI,0.1,0.00266,0.221,2833.0,1.83,14.9,-3.71,11.19,255 201 127
N5Ia0,12.5,15300000.0,17800.0,2750.0,1.88,-9.2,-4.01,-13.21,255 178 078
N5Ia,10.5,2020000.0,6450.0,2750.0,1.88,-7.0,-4.01,-11.01,255 178 078
N5Ib,8.4,507000.0,3230.0,2750.0,1.88,-5.5,-4.01,-9.51,255 178 078
N5II,6.4,46200.0,976.0,2750.0,1.88,-2.9,-4.01,-6.91,255 197 110
N5III,4.3,5070.0,323.0,2750.0,1.88,-0.5,-4.01,-4.51,255 197 124
N5IV,2.3,207.0,69.4,2667.0,1.93,3.3,-4.34,-1.04,255 209 154
N5V,0.2,0.00624,0.381,2667.0,1.93,14.6,-4.34,10.26,255 204 111
N5VI,0.1,0.00172,0.2,2667.0,1.93,16.0,-4.34,11.66,255 204 111
N6Ia0,12.4,28800000.0,28100.0,2560.0,2.0,-9.1,-4.8,-13.9,255 171 052
N6Ia,10.3,4170000.0,10700.0,2560.0,2.0,-7.0,-4.8,-11.8,255 171 052
N6Ib,8.3,955000.0,5120.0,2560.0,2.0,-5.4,-4.8,-10.2,255 171 052
N6II,6.3,95500.0,1620.0,2560.0,2.0,-2.9,-4.8,-7.7,255 195 105
N6III,4.2,9550.0,512.0,2560.0,2.0,-0.4,-4.8,-5.2,255 178 121
N6IV,2.2,410.0,111.0,2500.0,2.03,3.3,-5.08,-1.78,255 208 153
N6V,0.2,0.0045,0.368,2500.0,2.03,15.7,-5.08,10.62,255 195 112
N6VI,0.1,0.00163,0.222,2500.0,2.03,16.8,-5.08,11.72,255 195 112
N7Ia0,12.3,69600000.0,51000.0,2370.0,2.12,-9.1,-5.76,-14.86,255 164 026
N7Ia,10.2,9180000.0,18500.0,2370.0,2.12,-6.9,-5.76,-12.66,255 164 026
N7Ib,8.2,2100000.0,8870.0,2370.0,2.12,-5.3,-5.76,-11.06,255 164 026
N7II,6.2,253000.0,3070.0,2370.0,2.12,-3.0,-5.76,-8.76,255 193 100
N7III,4.2,21000.0,887.0,2370.0,2.12,-0.3,-5.76,-6.06,255 165 097
N7IV,2.1,926.0,192.0,2333.0,2.14,3.3,-5.97,-2.67,255 207 152
N7V,0.1,0.00369,0.383,2333.0,2.14,16.8,-5.97,10.83,255 197 111
N7VI,0.1,0.00194,0.278,2333.0,2.14,17.5,-5.97,11.53,255 197 111
N8Ia0,12.1,205000000.0,103000.0,2180.0,2.25,-9.1,-6.93,-16.03,255 157 000
N8Ia,10.1,27000000.0,37600.0,2180.0,2.25,-6.9,-6.93,-13.83,255 157 000
N8Ib,8.1,5150000.0,16400.0,2180.0,2.25,-5.1,-6.93,-12.03,255 157 000
N8II,6.1,744000.0,6230.0,2180.0,2.25,-3.0,-6.93,-9.93,255 192 096
N8III,4.1,51500.0,1640.0,2180.0,2.25,-0.1,-6.93,-7.03,255 167 097
N8IV,2.1,2440.0,361.0,2167.0,2.26,3.3,-7.02,-3.72,255 206 151
N8V,0.1,0.00353,0.434,2167.0,2.26,17.9,-7.02,10.88,255 198 109
N8VI,0.1,0.00244,0.361,2167.0,2.26,18.3,-7.02,11.28,255 198 109
N9Ia0,12.0,711000000.0,231000.0,1990.0,2.4,-9.0,-8.38,-17.38,255 157 000
N9Ia,10.0,103000000.0,87900.0,1990.0,2.4,-6.9,-8.38,-15.28,255 157 000
N9Ib,8.0,17900000.0,36700.0,1990.0,2.4,-5.0,-8.38,-13.38,255 157 000
N9II,6.0,2830000.0,14600.0,1990.0,2.4,-3.0,-8.38,-11.38,255 190 091
N9III,4.1,179000.0,3670.0,1990.0,2.4,0.0,-8.38,-8.38,255 233 154
N9IV,2.1,7910.0,764.0,2000.0,2.39,3.3,-8.3,-5.0,255 205 150
N9V,0.1,0.00415,0.553,2000.0,2.39,19.0,-8.3,10.7,255 198 108
N9VI,0.1,0.00415,0.553,2000.0,2.39,19.0,-8.3,10.7,255 198 108
WC0Ia0,160.0,34100000.0,80.2,50000.0,-0.35,-9.5,-4.58,-14.08,144 166 255
WC0Ia,150.0,2590000.0,22.1,50000.0,-0.35,-6.7,-4.58,-11.28,144 166 255
WC0Ib,140.0,2150000.0,20.2,50000.0,-0.35,-6.5,-4.58,-11.08,144 166 255
WC0II,130.0,2150000.0,20.2,50000.0,-0.35,-6.5,-4.58,-11.08,144 166 255
WC0III,120.0,2150000.0,20.2,50000.0,-0.35,-6.5,-4.58,-11.08,144 166 255
WC0IV,110.0,1360000.0,16.0,50000.0,-0.35,-6.0,-4.58,-10.58,144 166 255
WC0V,100.0,1240000.0,15.3,50000.0,-0.35,-5.9,-4.58,-10.48,144 166 255
WC0VI,60.0,940000.0,13.3,50000.0,-0.35,-5.6,-4.58,-10.18,144 166 255
WC1Ia0,159.7,27100000.0,78.8,47600.0,-0.35,-9.4,-4.43,-13.83,146 168 255
WC1Ia,149.3,2250000.0,22.7,47600.0,-0.35,-6.7,-4.43,-11.13,146 168 255
WC1Ib,139.0,1870000.0,20.7,47600.0,-0.35,-6.5,-4.43,-10.93,146 168 255
WC1II,128.6,1730000.0,19.8,47800.0,-0.35,-6.4,-4.44,-10.84,146 168 255
WC1III,118.2,1580000.0,18.9,47800.0,-0.35,-6.3,-4.44,-10.74,146 168 255
WC1IV,107.9,1090000.0,15.7,47800.0,-0.35,-5.9,-4.44,-10.34,145 167 255
WC1V,97.5,994000.0,15.0,47800.0,-0.35,-5.8,-4.44,-10.24,146 168 255
WC1VI,37.0,754000.0,13.1,47800.0,-0.35,-5.5,-4.44,-9.94,146 168 255
WC2Ia0,159.4,21400000.0,77.7,45200.0,-0.35,-9.3,-4.28,-13.58,148 170 255
WC2Ia,148.6,2140000.0,24.6,45200.0,-0.35,-6.8,-4.28,-11.08,148 170 255
WC2Ib,137.9,1620000.0,21.4,45200.0,-0.35,-6.5,-4.28,-10.78,148 170 255
WC2II,127.2,1520000.0,20.3,45600.0,-0.35,-6.4,-4.3,-10.7,148 170 255
WC2III,116.5,1260000.0,18.5,45600.0,-0.35,-6.2,-4.3,-10.5,148 169 255
WC2IV,105.7,872000.0,15.4,45600.0,-0.35,-5.8,-4.3,-10.1,146 169 255
WC2V,95.0,795000.0,14.7,45600.0,-0.35,-5.7,-4.3,-10.0,148 170 255
WC2VI,30.0,603000.0,12.8,45600.0,-0.35,-5.4,-4.3,-9.7,148 170 255
WC3Ia0,159.0,16800000.0,76.9,42800.0,-0.34,-9.2,-4.12,-13.32,151 172 255
WC3Ia,148.0,1850000.0,25.5,42800.0,-0.34,-6.8,-4.12,-10.92,151 172 255
WC3Ib,136.9,1400000.0,22.2,42800.0,-0.34,-6.5,-4.12,-10.62,151 172 255
WC3II,125.8,1210000.0,20.0,43400.0,-0.34,-6.3,-4.16,-10.46,149 173 255
WC3III,114.7,917000.0,17.5,43400.0,-0.34,-6.0,-4.16,-10.16,150 171 255
WC3IV,103.6,696000.0,15.2,43400.0,-0.34,-5.7,-4.16,-9.86,148 170 255
WC3V,92.5,634000.0,14.5,43400.0,-0.34,-5.6,-4.16,-9.76,151 172 255
WC3VI,23.0,481000.0,12.6,43400.0,-0.34,-5.3,-4.16,-9.46,151 172 255
WC4Ia0,158.7,13200000.0,76.4,40400.0,-0.33,-9.1,-3.95,-13.05,153 174 255
WC4Ia,147.3,1740000.0,27.7,40400.0,-0.33,-6.9,-3.95,-10.85,153 174 255
WC4Ib,135.8,1200000.0,23.1,40400.0,-0.33,-6.5,-3.95,-10.45,153 174 255
WC4II,124.4,960000.0,19.8,41200.0,-0.34,-6.2,-4.01,-10.21,151 175 255
WC4III,112.9,728000.0,17.3,41200.0,-0.34,-5.9,-4.01,-9.91,152 172 255
WC4IV,101.5,552000.0,15.0,41200.0,-0.34,-5.6,-4.01,-9.61,149 171 255
WC4V,90.0,504000.0,14.4,41200.0,-0.34,-5.5,-4.01,-9.51,153 174 255
WC4VI,20.0,382000.0,12.5,41200.0,-0.34,-5.2,-4.01,-9.21,153 174 255
WC5Ia0,158.4,10300000.0,76.2,38000.0,-0.33,-9.0,-3.78,-12.78,155 176 255
WC5Ia,142.0,1480000.0,29.0,38000.0,-0.33,-6.9,-3.78,-10.68,155 176 255
WC5Ib,125.6,1030000.0,24.1,38000.0,-0.33,-6.5,-3.78,-10.28,155 176 255
WC5II,109.2,759000.0,19.7,39000.0,-0.33,-6.1,-3.85,-9.95,153 177 255
WC5III,92.8,525000.0,16.4,39000.0,-0.33,-5.7,-3.85,-9.55,154 174 255
WC5IV,76.4,437000.0,14.9,39000.0,-0.33,-5.5,-3.85,-9.35,150 172 255
WC5V,60.0,398000.0,14.2,39000.0,-0.33,-5.4,-3.85,-9.25,155 176 255
WC5VI,17.5,302000.0,12.4,39000.0,-0.33,-5.1,-3.85,-8.95,155 176 255
WC6Ia0,136.7,7810000.0,76.6,35400.0,-0.32,-8.9,-3.58,-12.48,157 178 255
WC6Ia,120.1,1360000.0,31.9,35400.0,-0.32,-7.0,-3.58,-10.58,157 178 255
WC6Ib,103.5,781000.0,24.2,35400.0,-0.32,-6.4,-3.58,-9.98,157 178 255
WC6II,86.9,654000.0,20.5,36800.0,-0.32,-6.1,-3.69,-9.79,155 179 255
WC6III,70.2,376000.0,15.6,36800.0,-0.32,-5.5,-3.69,-9.19,156 175 255
WC6IV,53.6,313000.0,14.2,36800.0,-0.32,-5.3,-3.69,-8.99,151 174 255
WC6V,37.0,260000.0,12.9,36800.0,-0.32,-5.1,-3.69,-8.79,162 184 255
WC6VI,14.2,180000.0,10.8,36800.0,-0.32,-4.7,-3.69,-8.39,162 184 255
WC7Ia0,115.1,5880000.0,77.4,32800.0,-0.31,-8.8,-3.37,-12.17,160 181 255
WC7Ia,100.9,1120000.0,33.8,32800.0,-0.31,-7.0,-3.37,-10.37,160 181 255
WC7Ib,86.7,588000.0,24.5,32800.0,-0.31,-6.3,-3.37,-9.67,160 181 255
WC7II,72.5,510000.0,20.5,34600.0,-0.32,-6.0,-3.52,-9.52,156 181 255
WC7III,58.4,294000.0,15.5,34600.0,-0.32,-5.4,-3.52,-8.92,158 177 255
WC7IV,44.2,223000.0,13.5,34600.0,-0.32,-5.1,-3.52,-8.62,152 175 255
WC7V,30.0,154000.0,11.3,34600.0,-0.32,-4.7,-3.52,-8.22,157 177 255
WC7VI,10.9,107000.0,9.36,34600.0,-0.32,-4.3,-3.52,-7.82,157 177 255
WC8Ia0,93.4,4370000.0,78.7,30200.0,-0.3,-8.7,-3.15,-11.85,162 183 255
WC8Ia,81.7,913000.0,36.0,30200.0,-0.3,-7.0,-3.15,-10.15,162 183 255
WC8Ib,69.9,437000.0,24.9,30200.0,-0.3,-6.2,-3.15,-9.35,162 183 255
WC8II,58.2,360000.0,19.6,32400.0,-0.31,-5.8,-3.34,-9.14,158 183 255
WC8III,46.5,207000.0,14.9,32400.0,-0.31,-5.2,-3.34,-8.54,157 178 255
WC8IV,34.7,157000.0,13.0,32400.0,-0.31,-4.9,-3.34,-8.24,153 176 255
WC8V,23.0,99100.0,10.3,32400.0,-0.31,-4.4,-3.34,-7.74,157 177 255
WC8VI,7.6,57000.0,7.81,32400.0,-0.31,-3.8,-3.34,-7.14,157 177 255
WN0VI,60.0,940000.0,13.3,50000.0,-0.35,-5.6,-4.58,-10.18,144 166 255
WC9Ia0,71.8,3190000.0,80.5,27600.0,-0.29,-8.6,-2.91,-11.51,164 185 255
WC9Ia,63.1,731000.0,38.5,27600.0,-0.29,-7.0,-2.91,-9.91,164 185 255
WC9Ib,54.5,319000.0,25.5,27600.0,-0.29,-6.1,-2.91,-9.01,164 185 255
WC9II,45.9,276000.0,19.8,30200.0,-0.3,-5.7,-3.15,-8.85,160 186 255
WC9III,37.3,159000.0,15.0,30200.0,-0.3,-5.1,-3.15,-8.25,158 177 255
WC9IV,28.6,110000.0,12.5,30200.0,-0.3,-4.7,-3.15,-7.85,155 177 255
WC9V,20.0,57600.0,9.04,30200.0,-0.3,-4.0,-3.15,-7.15,154 178 255
WC9VI,6.7,33100.0,6.85,30200.0,-0.3,-3.4,-3.15,-6.55,154 178 255
WN0Ia0,160.0,34100000.0,80.2,50000.0,-0.35,-9.5,-4.58,-14.08,144 166 255
WN0Ia,150.0,2590000.0,22.1,50000.0,-0.35,-6.7,-4.58,-11.28,144 166 255
WN0Ib,140.0,2150000.0,20.2,50000.0,-0.35,-6.5,-4.58,-11.08,144 166 255
WN0II,130.0,2150000.0,20.2,50000.0,-0.35,-6.5,-4.58,-11.08,144 166 255
WN0III,120.0,2150000.0,20.2,50000.0,-0.35,-6.5,-4.58,-11.08,144 166 255
WN0IV,110.0,1360000.0,16.0,50000.0,-0.35,-6.0,-4.58,-10.58,144 166 255
WN0V,100.0,1240000.0,15.3,50000.0,-0.35,-5.9,-4.58,-10.48,144 166 255
WN1Ia0,159.7,27100000.0,78.8,47600.0,-0.35,-9.4,-4.43,-13.83,146 168 255
WN1Ia,149.3,2250000.0,22.7,47600.0,-0.35,-6.7,-4.43,-11.13,146 168 255
WN1Ib,139.0,1870000.0,20.7,47600.0,-0.35,-6.5,-4.43,-10.93,146 168 255
WN1II,128.6,1730000.0,19.8,47800.0,-0.35,-6.4,-4.44,-10.84,146 168 255
WN1III,118.2,1580000.0,18.9,47800.0,-0.35,-6.3,-4.44,-10.74,146 168 255
WN1IV,107.9,1090000.0,15.7,47800.0,-0.35,-5.9,-4.44,-10.34,145 167 255
WN1V,97.5,994000.0,15.0,47800.0,-0.35,-5.8,-4.44,-10.24,146 168 255
WN1VI,37.0,754000.0,13.1,47800.0,-0.35,-5.5,-4.44,-9.94,146 168 255
WN2Ia0,159.4,21400000.0,77.7,45200.0,-0.35,-9.3,-4.28,-13.58,148 170 255
WN2Ia,148.6,2140000.0,24.6,45200.0,-0.35,-6.8,-4.28,-11.08,148 170 255
WN2Ib,137.9,1620000.0,21.4,45200.0,-0.35,-6.5,-4.28,-10.78,148 170 255
WN2II,127.2,1520000.0,20.3,45600.0,-0.35,-6.4,-4.3,-10.7,148 170 255
WN2III,116.5,1260000.0,18.5,45600.0,-0.35,-6.2,-4.3,-10.5,148 169 255
WN2IV,105.7,872000.0,15.4,45600.0,-0.35,-5.8,-4.3,-10.1,146 169 255
WN2V,95.0,795000.0,14.7,45600.0,-0.35,-5.7,-4.3,-10.0,148 170 255
WN2VI,30.0,603000.0,12.8,45600.0,-0.35,-5.4,-4.3,-9.7,148 170 255
WN3Ia0,159.0,16800000.0,76.9,42800.0,-0.34,-9.2,-4.12,-13.32,151 172 255
WN3Ia,148.0,1850000.0,25.5,42800.0,-0.34,-6.8,-4.12,-10.92,151 172 255
WN3Ib,136.9,1400000.0,22.2,42800.0,-0.34,-6.5,-4.12,-10.62,151 172 255
WN3II,125.8,1210000.0,20.0,43400.0,-0.34,-6.3,-4.16,-10.46,149 173 255
WN3III,114.7,917000.0,17.5,43400.0,-0.34,-6.0,-4.16,-10.16,150 171 255
WN3IV,103.6,696000.0,15.2,43400.0,-0.34,-5.7,-4.16,-9.86,148 170 255
WN3V,92.5,634000.0,14.5,43400.0,-0.34,-5.6,-4.16,-9.76,151 172 255
WN3VI,23.0,481000.0,12.6,43400.0,-0.34,-5.3,-4.16,-9.46,151 172 255
WN4Ia0,158.7,13200000.0,76.4,40400.0,-0.33,-9.1,-3.95,-13.05,153 174 255
WN4Ia,147.3,1740000.0,27.7,40400.0,-0.33,-6.9,-3.95,-10.85,153 174 255
WN4Ib,135.8,1200000.0,23.1,40400.0,-0.33,-6.5,-3.95,-10.45,153 174 255
WN4II,124.4,960000.0,19.8,41200.0,-0.34,-6.2,-4.01,-10.21,151 175 255
WN4III,112.9,728000.0,17.3,41200.0,-0.34,-5.9,-4.01,-9.91,152 172 255
WN4IV,101.5,552000.0,15.0,41200.0,-0.34,-5.6,-4.01,-9.61,149 171 255
WN4V,90.0,504000.0,14.4,41200.0,-0.34,-5.5,-4.01,-9.51,153 174 255
WN4VI,20.0,382000.0,12.5,41200.0,-0.34,-5.2,-4.01,-9.21,153 174 255
WN5Ia0,158.4,10300000.0,76.2,38000.0,-0.33,-9.0,-3.78,-12.78,155 176 255
WN5Ia,142.0,1480000.0,29.0,38000.0,-0.33,-6.9,-3.78,-10.68,155 176 255
WN5Ib,125.6,1030000.0,24.1,38000.0,-0.33,-6.5,-3.78,-10.28,155 176 255
WN5II,109.2,759000.0,19.7,39000.0,-0.33,-6.1,-3.85,-9.95,153 177 255
WN5III,92.8,525000.0,16.4,39000.0,-0.33,-5.7,-3.85,-9.55,154 174 255
WN5IV,76.4,437000.0,14.9,39000.0,-0.33,-5.5,-3.85,-9.35,150 172 255
WN5V,60.0,398000.0,14.2,39000.0,-0.33,-5.4,-3.85,-9.25,155 176 255
WN5VI,17.5,302000.0,12.4,39000.0,-0.33,-5.1,-3.85,-8.95,155 176 255
WN6Ia0,136.7,7810000.0,76.6,35400.0,-0.32,-8.9,-3.58,-12.48,157 178 255
WN6Ia,120.1,1360000.0,31.9,35400.0,-0.32,-7.0,-3.58,-10.58,157 178 255
WN6Ib,103.5,781000.0,24.2,35400.0,-0.32,-6.4,-3.58,-9.98,157 178 255
WN6II,86.9,654000.0,20.5,36800.0,-0.32,-6.1,-3.69,-9.79,155 179 255
WN6III,70.2,376000.0,15.6,36800.0,-0.32,-5.5,-3.69,-9.19,156 175 255
WN6IV,53.6,313000.0,14.2,36800.0,-0.32,-5.3,-3.69,-8.99,151 174 255
WN6V,37.0,260000.0,12.9,36800.0,-0.32,-5.1,-3.69,-8.79,162 184 255
WN6VI,14.2,180000.0,10.8,36800.0,-0.32,-4.7,-3.69,-8.39,162 184 255
WN7Ia0,115.1,5880000.0,77.4,32800.0,-0.31,-8.8,-3.37,-12.17,160 181 255
WN7Ia,100.9,1120000.0,33.8,32800.0,-0.31,-7.0,-3.37,-10.37,160 181 255
WN7Ib,86.7,588000.0,24.5,32800.0,-0.31,-6.3,-3.37,-9.67,160 181 255
WN7II,72.5,510000.0,20.5,34600.0,-0.32,-6.0,-3.52,-9.52,156 181 255
WN7III,58.4,294000.0,15.5,34600.0,-0.32,-5.4,-3.52,-8.92,158 177 255
WN7IV,44.2,223000.0,13.5,34600.0,-0.32,-5.1,-3.52,-8.62,152 175 255
WN7V,30.0,154000.0,11.3,34600.0,-0.32,-4.7,-3.52,-8.22,157 177 255
WN7VI,10.9,107000.0,9.36,34600.0,-0.32,-4.3,-3.52,-7.82,157 177 255
WN8Ia0,93.4,4370000.0,78.7,30200.0,-0.3,-8.7,-3.15,-11.85,162 183 255
WN8Ia,81.7,913000.0,36.0,30200.0,-0.3,-7.0,-3.15,-10.15,162 183 255
WN8Ib,69.9,437000.0,24.9,30200.0,-0.3,-6.2,-3.15,-9.35,162 183 255
WN8II,58.2,360000.0,19.6,32400.0,-0.31,-5.8,-3.34,-9.14,158 183 255
WN8III,46.5,207000.0,14.9,32400.0,-0.31,-5.2,-3.34,-8.54,157 178 255
WN8IV,34.7,157000.0,13.0,32400.0,-0.31,-4.9,-3.34,-8.24,153 176 255
WN8V,23.0,99100.0,10.3,32400.0,-0.31,-4.4,-3.34,-7.74,157 177 255
WN8VI,7.6,57000.0,7.81,32400.0,-0.31,-3.8,-3.34,-7.14,157 177 255
WN9Ia0,71.8,3190000.0,80.5,27600.0,-0.29,-8.6,-2.91,-11.51,164 185 255
WN9Ia,63.1,731000.0,38.5,27600.0,-0.29,-7.0,-2.91,-9.91,164 185 255
WN9Ib,54.5,319000.0,25.5,27600.0,-0.29,-6.1,-2.91,-9.01,164 185 255
WN9II,45.9,276000.0,19.8,30200.0,-0.3,-5.7,-3.15,-8.85,160 186 255
WN9III,37.3,159000.0,15.0,30200.0,-0.3,-5.1,-3.15,-8.25,158 177 255
WN9IV,28.6,110000.0,12.5,30200.0,-0.3,-4.7,-3.15,-7.85,155 177 255
WN9V,20.0,57600.0,9.04,30200.0,-0.3,-4.0,-3.15,-7.15,154 178 255
WN9VI,6.7,33100.0,6.85,30200.0,-0.3,-3.4,-3.15,-6.55,154 178 255
R0Ia0,12.0,813000.0,1420.0,4669.0,1.03,-9.4,-0.62,-10.02,255 231 193
R0Ia,10.2,170000.0,649.0,4669.0,1.03,-7.7,-0.62,-8.32,255 231 193
R0Ib,8.3,9770.0,156.0,4669.0,1.03,-4.6,-0.62,-5.22,255 231 193
R0II,6.5,1290.0,56.5,4669.0,1.03,-2.4,-0.62,-3.02,255 237 209
R0III,4.6,89.1,14.9,4669.0,1.03,0.5,-0.62,-0.12,255 243 233
R0IV,2.8,6.2,2.76,5560.0,0.75,3.0,-0.23,2.77,255 245 238
R0V,0.9,0.982,1.1,5560.0,0.75,5.0,-0.23,4.77,255 241 229
R0VI,0.8,0.297,0.605,5560.0,0.75,6.3,-0.23,6.07,255 241 229
R1Ia0,12.4,871000.0,1540.0,4561.0,1.07,-9.4,-0.7,-10.1,255 228 187
R1Ia,10.5,166000.0,672.0,4561.0,1.07,-7.6,-0.7,-8.3,255 228 187
R1Ib,8.6,10500.0,169.0,4561.0,1.07,-4.6,-0.7,-5.3,255 228 187
R1II,6.7,1380.0,61.3,4561.0,1.07,-2.4,-0.7,-3.1,255 234 201
R1III,4.7,105.0,16.9,4561.0,1.07,0.4,-0.7,-0.3,255 239 222
R1IV,2.8,6.61,3.11,5331.0,0.82,3.0,-0.3,2.7,255 241 229
R1V,0.9,0.794,1.08,5331.0,0.82,5.3,-0.3,5.0,255 238 222
R1VI,0.7,0.219,0.565,5331.0,0.82,6.7,-0.3,6.4,255 238 222
R2Ia0,12.8,940000.0,1680.0,4453.0,1.11,-9.4,-0.78,-10.18,255 225 182
R2Ia,10.8,179000.0,733.0,4453.0,1.11,-7.6,-0.78,-8.38,255 225 182
R2Ib,8.8,12400.0,193.0,4453.0,1.11,-4.7,-0.78,-5.48,255 225 182
R2II,6.8,1490.0,66.8,4453.0,1.11,-2.4,-0.78,-3.18,255 230 192
R2III,4.8,136.0,20.2,4453.0,1.11,0.2,-0.78,-0.58,255 234 211
